City,State,Country,Latitude,Longitude,Capacity Factor,Fossil fuel percentage,Water production,Cost of heat per unit,LCOW,CAPEX,OPEX
-,-,-,32.13,-110.94,25.898803736189112,74.10383022472588,730000.0000000469,0.6599999999999999,1.0241411841909827,0.16696700896681246,0.8571741752241703
Houston Ellington Afb [clear Lake - Ut],TX,USA,29.570000,-95.090000,13.593167600692418,86.40363391827604,730000.0000000469,0.6599999999999999,1.0241411841909827,0.16696700896681246,0.8571741752241703
